Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;02 Aragón;Vivienda nueva;Índice;2009T3;150,489
Nacional;02 Aragón;Vivienda nueva;Índice;2009T2;154,374
Nacional;02 Aragón;Vivienda nueva;Índice;2009T1;154,126
Nacional;02 Aragón;Vivienda nueva;Índice;2008T4;160,288
Nacional;02 Aragón;Vivienda nueva;Índice;2008T3;159,306
Nacional;02 Aragón;Vivienda nueva;Índice;2008T2;162,869
Nacional;02 Aragón;Vivienda nueva;Índice;2008T1;159,141
Nacional;02 Aragón;Vivienda nueva;Índice;2007T4;159,186
Nacional;02 Aragón;Vivienda nueva;Índice;2007T3;156,728
Nacional;02 Aragón;Vivienda nueva;Índice;2007T2;155,770
Nacional;02 Aragón;Vivienda nueva;Índice;2007T1;152,923
Nacional;02 Aragón;Vivienda segunda mano;Índice;2025T2;166,844
Nacional;02 Aragón;Vivienda segunda mano;Índice;2025T1;158,524
Nacional;02 Aragón;Vivienda segunda mano;Índice;2024T4;152,748
Nacional;02 Aragón;Vivienda segunda mano;Índice;2024T3;149,665
Nacional;02 Aragón;Vivienda segunda mano;Índice;2024T2;145,385
Nacional;02 Aragón;Vivienda segunda mano;Índice;2024T1;138,811
Nacional;02 Aragón;Vivienda segunda mano;Índice;2023T4;135,001
Nacional;02 Aragón;Vivienda segunda mano;Índice;2023T3;135,909
Nacional;02 Aragón;Vivienda segunda mano;Índice;2023T2;133,444
Nacional;02 Aragón;Vivienda segunda mano;Índice;2023T1;131,202
Nacional;02 Aragón;Vivienda segunda mano;Índice;2022T4;130,717
Nacional;02 Aragón;Vivienda segunda mano;Índice;2022T3;132,253
Nacional;02 Aragón;Vivienda segunda mano;Índice;2022T2;131,268
Nacional;02 Aragón;Vivienda segunda mano;Índice;2022T1;128,499
Nacional;02 Aragón;Vivienda segunda mano;Índice;2021T4;125,611
Nacional;02 Aragón;Vivienda segunda mano;Índice;2021T3;124,307
Nacional;02 Aragón;Vivienda segunda mano;Índice;2021T2;122,725
Nacional;02 Aragón;Vivienda segunda mano;Índice;2021T1;120,421
Nacional;02 Aragón;Vivienda segunda mano;Índice;2020T4;118,595
Nacional;02 Aragón;Vivienda segunda mano;Índice;2020T3;118,673
Nacional;02 Aragón;Vivienda segunda mano;Índice;2020T2;119,541
Nacional;02 Aragón;Vivienda segunda mano;Índice;2020T1;117,456
Nacional;02 Aragón;Vivienda segunda mano;Índice;2019T4;117,994
Nacional;02 Aragón;Vivienda segunda mano;Índice;2019T3;117,221
Nacional;02 Aragón;Vivienda segunda mano;Índice;2019T2;115,566
Nacional;02 Aragón;Vivienda segunda mano;Índice;2019T1;113,638
Nacional;02 Aragón;Vivienda segunda mano;Índice;2018T4;111,735
Nacional;02 Aragón;Vivienda segunda mano;Índice;2018T3;110,663
Nacional;02 Aragón;Vivienda segunda mano;Índice;2018T2;109,117
Nacional;02 Aragón;Vivienda segunda mano;Índice;2018T1;107,318
Nacional;02 Aragón;Vivienda segunda mano;Índice;2017T4;105,523
Nacional;02 Aragón;Vivienda segunda mano;Índice;2017T3;104,552
Nacional;02 Aragón;Vivienda segunda mano;Índice;2017T2;103,521
Nacional;02 Aragón;Vivienda segunda mano;Índice;2017T1;103,563
Nacional;02 Aragón;Vivienda segunda mano;Índice;2016T4;102,113
Nacional;02 Aragón;Vivienda segunda mano;Índice;2016T3;101,517
Nacional;02 Aragón;Vivienda segunda mano;Índice;2016T2;101,731
Nacional;02 Aragón;Vivienda segunda mano;Índice;2016T1;100,403
Nacional;02 Aragón;Vivienda segunda mano;Índice;2015T4;100,044
Nacional;02 Aragón;Vivienda segunda mano;Índice;2015T3;100,876
